Caller,Callee
ov_pcm_seek_page,_get_next_page
ov_pcm_seek_page,vorbis_block_clear
ov_pcm_seek_page,vorbis_dsp_clear
ov_pcm_seek_page,ov_raw_seek
ov_pcm_seek_page,ogg_page_serialno
ov_pcm_seek_page,ogg_page_granulepos
ov_pcm_seek_page,ogg_stream_packetout
ov_pcm_seek_page,ogg_page_continued
ov_pcm_seek_page,ogg_stream_packetpeek
ov_pcm_seek_page,ogg_stream_pagein
ov_pcm_seek_page,ogg_stream_reset_serialno
ov_pcm_seek_page,vorbis_synthesis_restart
_fetch_and_process_packet,vorbis_synthesis_init
_fetch_and_process_packet,ogg_stream_pagein
_fetch_and_process_packet,vorbis_block_init
_fetch_and_process_packet,vorbis_synthesis_halfrate_p
_fetch_and_process_packet,ogg_stream_packetout
_fetch_and_process_packet,vorbis_synthesis
_fetch_and_process_packet,vorbis_synthesis_pcmout
_fetch_and_process_packet,vorbis_synthesis_blockin
_fetch_and_process_packet,_fetch_headers
_fetch_and_process_packet,ogg_stream_reset_serialno
_fetch_and_process_packet,ogg_page_serialno
_fetch_and_process_packet,_get_next_page
_fetch_and_process_packet,vorbis_comment_clear
_fetch_and_process_packet,ogg_page_bos
_fetch_and_process_packet,vorbis_dsp_clear
_fetch_and_process_packet,vorbis_block_clear
_fetch_and_process_packet,vorbis_info_clear
ov_halfrate_p,vorbis_synthesis_halfrate_p
ov_test_callbacks,_ov_open1
ov_test,_ov_open1
ov_test_open,_ov_open2
ov_bitrate,ov_time_total
_ve_envelope_clear,mdct_clear
_ve_envelope_clear,free
_ve_envelope_search,realloc
_ve_envelope_search,_ve_amp
_ve_amp,mdct_forward
ov_time_total,ov_time_total
ov_raw_total,ov_raw_total
ov_time_seek,ov_time_total
ov_time_seek,ov_pcm_seek
ov_time_seek_page,ov_time_total
ov_time_seek_page,ov_pcm_seek_page
vorbis_info_clear,free
vorbis_info_clear,_vi_psy_free
vorbis_info_clear,vorbis_book_clear
vorbis_info_clear,vorbis_staticbook_destroy
vorbis_synthesis_idheader,oggpack_readinit
vorbis_synthesis_idheader,oggpack_read
vorbis_synthesis_idheader,bcmp
vorbis_synthesis_headerin,oggpack_readinit
vorbis_synthesis_headerin,oggpack_read
vorbis_synthesis_headerin,vorbis_info_clear
vorbis_synthesis_headerin,calloc
vorbis_synthesis_headerin,vorbis_staticbook_unpack
vorbis_synthesis_headerin,free
vorbis_synthesis_headerin,oggpack_bytes
vorbis_synthesis_headerin,bcmp
vorbis_commentheader_out,oggpack_writeinit
vorbis_commentheader_out,_vorbis_pack_comment
vorbis_commentheader_out,oggpack_bytes
vorbis_commentheader_out,malloc
vorbis_commentheader_out,oggpack_writeclear
_vorbis_pack_comment,oggpack_write
vorbis_analysis_headerout,oggpack_writeinit
vorbis_analysis_headerout,oggpack_write
vorbis_analysis_headerout,free
vorbis_analysis_headerout,oggpack_writeclear
vorbis_analysis_headerout,oggpack_bytes
vorbis_analysis_headerout,malloc
vorbis_analysis_headerout,vorbis_staticbook_pack
vorbis_analysis_headerout,oggpack_reset
vorbis_analysis_headerout,_vorbis_pack_comment
vorbis_analysis_headerout,ov_ilog
vorbis_staticbook_pack,oggpack_write
vorbis_staticbook_pack,_book_maptype1_quantvals
vorbis_staticbook_pack,ov_ilog
vorbis_staticbook_unpack,calloc
vorbis_staticbook_unpack,oggpack_read
vorbis_staticbook_unpack,vorbis_staticbook_destroy
vorbis_staticbook_unpack,malloc
vorbis_staticbook_unpack,ov_ilog
vorbis_staticbook_unpack,oggpack_bytes
vorbis_staticbook_unpack,_book_maptype1_quantvals
vorbis_book_encode,oggpack_write
vorbis_book_decode,decode_packed_entry_number
decode_packed_entry_number,oggpack_look
decode_packed_entry_number,oggpack_adv
vorbis_book_decodevs_add,decode_packed_entry_number
vorbis_book_decodev_add,decode_packed_entry_number
vorbis_book_decodev_set,decode_packed_entry_number
vorbis_book_decodevv_add,decode_packed_entry_number
ov_time_seek_lap,_ov_d_seek_lap
_ov_d_seek_lap,_fetch_and_process_packet
_ov_d_seek_lap,vorbis_synthesis_halfrate_p
_ov_d_seek_lap,vorbis_info_blocksize
_ov_d_seek_lap,vorbis_window
_ov_d_seek_lap,_ov_getlap
_ov_d_seek_lap,vorbis_synthesis_pcmout
_ov_d_seek_lap,vorbis_synthesis_lapout
ov_time_seek_page_lap,_ov_d_seek_lap
vorbis_block_init,calloc
vorbis_block_init,oggpack_writeinit
_vorbis_block_alloc,malloc
_vorbis_block_ripcord,free
_vorbis_block_ripcord,realloc
vorbis_block_clear,free
vorbis_block_clear,oggpack_writeclear
vorbis_block_clear,realloc
vorbis_analysis_init,_vds_shared_init
vorbis_analysis_init,_vp_global_look
vorbis_analysis_init,calloc
vorbis_analysis_init,_ve_envelope_init
vorbis_analysis_init,vorbis_bitrate_init
_vds_shared_init,calloc
_vds_shared_init,ov_ilog
_vds_shared_init,vorbis_dsp_clear
_vds_shared_init,vorbis_staticbook_destroy
_vds_shared_init,malloc
_vds_shared_init,mdct_init
_vds_shared_init,vorbis_book_init_decode
_vds_shared_init,_vp_psy_init
_vds_shared_init,vorbis_book_init_encode
_vds_shared_init,drft_init
vorbis_dsp_clear,_ve_envelope_clear
vorbis_dsp_clear,free
vorbis_dsp_clear,mdct_clear
vorbis_dsp_clear,drft_clear
vorbis_dsp_clear,vorbis_bitrate_clear
vorbis_dsp_clear,_vp_global_free
vorbis_dsp_clear,_vp_psy_clear
vorbis_analysis_buffer,free
vorbis_analysis_buffer,realloc
vorbis_analysis_wrote,_preextrapolate_helper
vorbis_analysis_wrote,vorbis_analysis_buffer
vorbis_analysis_wrote,vorbis_lpc_from_data
vorbis_analysis_wrote,vorbis_lpc_predict
_preextrapolate_helper,vorbis_lpc_from_data
_preextrapolate_helper,vorbis_lpc_predict
vorbis_analysis_blockout,_ve_envelope_search
vorbis_analysis_blockout,free
vorbis_analysis_blockout,_ve_envelope_shift
vorbis_analysis_blockout,realloc
vorbis_analysis_blockout,_ve_envelope_mark
vorbis_analysis_blockout,_vp_ampmax_decay
vorbis_analysis_blockout,malloc
vorbis_synthesis_init,_vds_shared_init
vorbis_synthesis_init,vorbis_dsp_clear
vorbis_synthesis_blockin,_vorbis_window_get
floor1_free_info,free
floor1_free_look,free
floor1_inverse1,oggpack_read
floor1_inverse1,_vorbis_block_alloc
floor1_inverse1,ov_ilog
floor1_inverse1,vorbis_book_decode
floor1_fit,fit_line
floor1_fit,exit
floor1_fit,_vorbis_block_alloc
floor1_interpolate_fit,_vorbis_block_alloc
floor1_encode,oggpack_write
floor1_encode,ov_ilog
floor1_encode,vorbis_book_encode
vorbis_window,_vorbis_window_get
_ve_envelope_init,calloc
_ve_envelope_init,mdct_init
_ve_envelope_init,malloc
vorbis_bitrate_addblock,oggpack_bytes
vorbis_bitrate_addblock,oggpack_write
vorbis_bitrate_addblock,oggpack_writetrunc
vorbis_bitrate_flushpacket,oggpack_get_buffer
vorbis_bitrate_flushpacket,oggpack_bytes
mdct_init,malloc
mdct_clear,free
mdct_backward,mdct_butterflies
mdct_forward,mdct_butterflies
drft_forward,dradf4
drft_forward,dradfg
drft_forward,dradf2
drft_backward,dradb4
drft_backward,dradbg
drft_backward,dradb2
drft_backward,dradb3
vorbis_synthesis,_vorbis_block_ripcord
vorbis_synthesis,oggpack_readinit
vorbis_synthesis,oggpack_read
vorbis_synthesis,_vorbis_block_alloc
vorbis_synthesis_trackonly,_vorbis_block_ripcord
vorbis_synthesis_trackonly,oggpack_readinit
vorbis_synthesis_trackonly,oggpack_read
vorbis_packet_blocksize,oggpack_readinit
vorbis_packet_blocksize,oggpack_read
vorbis_packet_blocksize,ov_ilog
_vp_global_look,calloc
_vp_global_free,free
_vi_gpsy_free,free
_vi_psy_free,free
_vp_psy_init,malloc
_vp_psy_init,setup_tone_curves
_vp_psy_init,atan
setup_tone_curves,malloc
setup_tone_curves,attenuate_curve
_vp_psy_clear,free
_vp_noisemask,bark_noise_hybridmp
_vp_tonemask,seed_chase
mapping0_pack,oggpack_write
mapping0_pack,ov_ilog
mapping0_unpack,calloc
mapping0_unpack,oggpack_read
mapping0_unpack,free
mapping0_unpack,ov_ilog
mapping0_free_info,free
mapping0_forward,_vorbis_block_alloc
mapping0_forward,vorbis_bitrate_managed
mapping0_forward,_vp_couple_quantize_normalize
mapping0_forward,floor1_encode
mapping0_forward,_vorbis_apply_window
mapping0_forward,mdct_forward
mapping0_forward,drft_forward
mapping0_forward,oggpack_write
mapping0_forward,floor1_interpolate_fit
mapping0_forward,floor1_fit
mapping0_forward,_vp_offset_and_mix
mapping0_forward,_vp_tonemask
mapping0_forward,_vp_noisemask
mapping0_inverse,mdct_backward
vorbis_lpc_to_lsp,Laguerre_With_Deflation
vorbis_lpc_to_lsp,acosf
vorbis_lpc_to_lsp,Newton_Raphson
vorbis_lpc_to_lsp,qsort
vorbis_comment_add,realloc
vorbis_comment_add,strcpy
vorbis_comment_add,strlen
vorbis_comment_add,malloc
vorbis_comment_add_tag,strlen
vorbis_comment_add_tag,free
vorbis_comment_add_tag,malloc
vorbis_comment_add_tag,strcpy
vorbis_comment_add_tag,realloc
vorbis_comment_add_tag,strcat
vorbis_comment_query,strlen
vorbis_comment_query,malloc
vorbis_comment_query,strcpy
vorbis_comment_query,free
vorbis_comment_query_count,strlen
vorbis_comment_query_count,malloc
vorbis_comment_query_count,strcpy
vorbis_comment_query_count,free
vorbis_comment_clear,free
vorbis_info_init,calloc
_float32_pack,ldexp
_float32_unpack,ldexp
_make_words,malloc
_make_words,free
_book_unquantize,ldexp
_book_unquantize,calloc
vorbis_staticbook_destroy,free
vorbis_book_clear,free
vorbis_book_init_encode,_make_words
vorbis_book_init_encode,ldexp
vorbis_book_init_decode,_make_words
vorbis_book_init_decode,qsort
vorbis_book_init_decode,malloc
vorbis_book_init_decode,free
vorbis_book_init_decode,_book_unquantize
vorbis_book_init_decode,calloc
drft_init,calloc
drft_clear,free
floor1_pack,oggpack_write
floor1_pack,ov_ilog
floor1_unpack,calloc
floor1_unpack,oggpack_read
floor1_unpack,free
floor1_unpack,qsort
floor1_look,calloc
floor1_look,qsort
res0_look,calloc
res0_look,malloc
res0_look,ov_ilog
res0_free_info,free
res0_free_look,free
res0_inverse,_01inverse
_01inverse,_vorbis_block_alloc
_01inverse,vorbis_book_decode
res0_pack,oggpack_write
res0_pack,ov_ilog
res1_class,_vorbis_block_alloc
res1_forward,_01forward
res1_inverse,_01inverse
_01forward,vorbis_book_encode
res2_class,_vorbis_block_alloc
res2_forward,_vorbis_block_alloc
res2_forward,_01forward
res2_inverse,_vorbis_block_alloc
res2_inverse,vorbis_book_decode
res2_inverse,vorbis_book_decodevv_add
ogg_stream_init,malloc
ogg_stream_init,free
ogg_stream_clear,free
ogg_stream_destroy,free
ogg_stream_iovecin,free
ogg_stream_iovecin,_os_lacing_expand
ogg_stream_iovecin,realloc
_os_lacing_expand,free
_os_lacing_expand,realloc
ogg_stream_packetin,ogg_stream_iovecin
ogg_stream_flush,ogg_stream_flush_i
ogg_stream_flush_i,ogg_page_checksum_set
ogg_stream_flush_fill,ogg_stream_flush_i
ogg_stream_pageout,ogg_stream_flush_i
ogg_stream_pageout_fill,ogg_stream_flush_i
