Caller,Callee
next_lookup.70,strcmp
next_lookup.70,ares_striendstr
next_lookup.70,tolower
next_lookup.70,ares__is_onion_domain
next_lookup.70,ares__close_sockets
next_lookup.70,ares__generate_new_id
next_lookup.70,rc4
next_lookup.70,ares_query
next_lookup.70,generate_unique_id
next_lookup.70,find_query_by_id
next_lookup.70,ares__init_list_node
next_lookup.70,ares__is_list_empty
next_lookup.70,ares__insert_in_list
next_lookup.70,ares__remove_from_list
next_lookup.70,ares__freeaddrinfo_cnames
next_lookup.70,ares__freeaddrinfo_nodes
next_lookup.70,ares_freeaddrinfo
next_lookup.70,aresx_uztosi
next_lookup.70,aresx_sitous
next_lookup.70,ares_send
next_lookup.70,ares__read_line
next_lookup.70,fgets
next_lookup.70,ferror
next_lookup.70,ares_inet_pton
next_lookup.70,inet_pton
next_dns_lookup,fcntl
next_dns_lookup,setsockopt
next_dns_lookup,bind
next_dns_lookup,memcmp
next_dns_lookup,as_is_first
next_dns_lookup,setsocknonblock
next_dns_lookup,socket
next_dns_lookup,__assert_fail
next_dns_lookup,ares_free_string
next_dns_lookup,strlen
next_dns_lookup,htonl
next_dns_lookup,__errno_location
next_dns_lookup,ares__tvnow
next_dns_lookup,clock_gettime
next_dns_lookup,gettimeofday
next_dns_lookup,skip_server
next_dns_lookup,next_server
next_dns_lookup,ares__send_query
next_dns_lookup,end_query
next_dns_lookup,ares__free_query
next_dns_lookup,open_tcp_socket
next_dns_lookup,open_udp_socket
next_dns_lookup,socket_write
next_dns_lookup,timeadd
next_dns_lookup,send
next_dns_lookup,ares__open_socket
next_dns_lookup,configure_socket
next_dns_lookup,ares__close_socket
next_dns_lookup,ares__connect_socket
next_dns_lookup,connect
next_dns_lookup,close
next_dns_lookup,ares__cat_domain
next_dns_lookup,ares_create_query
next_dns_lookup,strcmp
next_dns_lookup,ares_striendstr
next_dns_lookup,tolower
next_dns_lookup,ares__is_onion_domain
next_dns_lookup,ares__close_sockets
next_dns_lookup,ares__generate_new_id
next_dns_lookup,rc4
next_dns_lookup,ares_query
next_dns_lookup,generate_unique_id
next_dns_lookup,find_query_by_id
next_dns_lookup,ares__init_list_node
next_dns_lookup,ares__is_list_empty
next_dns_lookup,ares__insert_in_list
next_dns_lookup,ares__remove_from_list
next_dns_lookup,aresx_sitous
next_dns_lookup,ares_send
file_lookup.71,ares__append_addrinfo_cname
file_lookup.71,ares__addrinfo_cat_cnames
file_lookup.71,ares__malloc_addrinfo_node
file_lookup.71,ares__append_addrinfo_node
file_lookup.71,ares__addrinfo_cat_nodes
file_lookup.71,getenv
file_lookup.71,ares__malloc_addrinfo_cname
file_lookup.71,strlen
file_lookup.71,__errno_location
file_lookup.71,htons
file_lookup.71,__ctype_b_loc
file_lookup.71,ares_strdup
file_lookup.71,strdup
file_lookup.71,fopen
file_lookup.71,fclose
file_lookup.71,strcasecmp
file_lookup.71,ares__readaddrinfo
file_lookup.71,ares__freeaddrinfo_cnames
file_lookup.71,ares__freeaddrinfo_nodes
file_lookup.71,aresx_uztosi
file_lookup.71,ares__read_line
file_lookup.71,fgets
file_lookup.71,ferror
file_lookup.71,ares_inet_pton
file_lookup.71,inet_pton
end_hquery.72,ares__sortaddrinfo
end_hquery.72,qsort
end_hquery.72,socket
end_hquery.72,__assert_fail
end_hquery.72,find_src_addr
end_hquery.72,__errno_location
end_hquery.72,getsockname
end_hquery.72,htons
end_hquery.72,ares__open_socket
end_hquery.72,ares__close_socket
end_hquery.72,ares__connect_socket
end_hquery.72,connect
end_hquery.72,close
end_hquery.72,ares__freeaddrinfo_cnames
end_hquery.72,ares__freeaddrinfo_nodes
end_hquery.72,ares_freeaddrinfo
as_is_first,strlen
host_callback.76,ares__sortaddrinfo
host_callback.76,ares__append_addrinfo_cname
host_callback.76,ares__addrinfo_cat_cnames
host_callback.76,ares__malloc_addrinfo_node
host_callback.76,ares__append_addrinfo_node
host_callback.76,ares__addrinfo_cat_nodes
host_callback.76,fcntl
host_callback.76,setsockopt
host_callback.76,bind
host_callback.76,memcmp
host_callback.76,next_lookup.70
host_callback.76,next_dns_lookup
host_callback.76,file_lookup.71
host_callback.76,end_hquery.72
host_callback.76,getenv
host_callback.76,as_is_first
host_callback.76,qsort
host_callback.76,setsocknonblock
host_callback.76,socket
host_callback.76,__assert_fail
host_callback.76,find_src_addr
host_callback.76,ares_free_string
host_callback.76,ares__malloc_addrinfo_cname
host_callback.76,strlen
host_callback.76,htonl
host_callback.76,__errno_location
host_callback.76,getsockname
host_callback.76,ares__tvnow
host_callback.76,clock_gettime
host_callback.76,gettimeofday
host_callback.76,htons
host_callback.76,__ctype_b_loc
host_callback.76,ares_strdup
host_callback.76,strdup
host_callback.76,fopen
host_callback.76,fclose
host_callback.76,skip_server
host_callback.76,next_server
host_callback.76,ares__send_query
host_callback.76,end_query
host_callback.76,ares__free_query
host_callback.76,open_tcp_socket
host_callback.76,open_udp_socket
host_callback.76,socket_write
host_callback.76,timeadd
host_callback.76,send
host_callback.76,ares__open_socket
host_callback.76,configure_socket
host_callback.76,ares__close_socket
host_callback.76,ares__connect_socket
host_callback.76,connect
host_callback.76,close
host_callback.76,strcasecmp
host_callback.76,ares__cat_domain
host_callback.76,ares__readaddrinfo
host_callback.76,ares_create_query
host_callback.76,strcmp
host_callback.76,ares_striendstr
host_callback.76,tolower
host_callback.76,ares__is_onion_domain
host_callback.76,ares_expand_name
host_callback.76,name_length
host_callback.76,ares__expand_name_for_response
host_callback.76,ares__close_sockets
host_callback.76,ares__generate_new_id
host_callback.76,rc4
host_callback.76,ares_query
host_callback.76,generate_unique_id
host_callback.76,find_query_by_id
host_callback.76,ares__init_list_node
host_callback.76,ares__is_list_empty
host_callback.76,ares__insert_in_list
host_callback.76,ares__remove_from_list
host_callback.76,ares__freeaddrinfo_cnames
host_callback.76,ares__freeaddrinfo_nodes
host_callback.76,ares_freeaddrinfo
host_callback.76,aresx_uztosl
host_callback.76,aresx_uztosi
host_callback.76,aresx_sitous
host_callback.76,ares_send
host_callback.76,ares__read_line
host_callback.76,fgets
host_callback.76,ferror
host_callback.76,ares_inet_pton
host_callback.76,inet_pton
host_callback.76,ares__parse_into_addrinfo2
host_callback.76,ares__parse_into_addrinfo
rfc6724_compare,get_scope
rfc6724_compare,get_label
rfc6724_compare,get_precedence
rfc6724_compare,common_prefix_len
rfc6724_compare,htonl
rfc6724_compare,ntohl
get_scope,htonl
get_scope,ntohl
get_label,htonl
get_label,ntohl
get_precedence,htonl
get_precedence,ntohl
setsocknonblock,fcntl
socket_recvfrom,recvfrom
same_address,memcmp
process_answer,fcntl
process_answer,setsockopt
process_answer,bind
process_answer,memcmp
process_answer,setsocknonblock
process_answer,socket
process_answer,same_questions
process_answer,has_opt_rr
process_answer,__assert_fail
process_answer,ares_free_string
process_answer,htonl
process_answer,__errno_location
process_answer,skip_server
process_answer,next_server
process_answer,ares__send_query
process_answer,end_query
process_answer,ares__free_query
process_answer,open_tcp_socket
process_answer,open_udp_socket
process_answer,socket_write
process_answer,timeadd
process_answer,send
process_answer,ares__open_socket
process_answer,configure_socket
process_answer,ares__close_socket
process_answer,ares__connect_socket
process_answer,connect
process_answer,close
process_answer,strcasecmp
process_answer,ares_expand_name
process_answer,name_length
process_answer,ares__close_sockets
process_answer,ares__is_list_empty
process_answer,ares__insert_in_list
process_answer,ares__remove_from_list
process_answer,aresx_uztosl
process_answer,aresx_sitous
same_questions,strcasecmp
same_questions,ares_expand_name
same_questions,name_length
same_questions,aresx_uztosl
has_opt_rr,ares_free_string
has_opt_rr,ares_expand_name
has_opt_rr,name_length
has_opt_rr,aresx_uztosl
find_src_addr,socket
find_src_addr,__errno_location
find_src_addr,getsockname
find_src_addr,ares__open_socket
find_src_addr,ares__close_socket
find_src_addr,ares__connect_socket
find_src_addr,connect
find_src_addr,close
end_hquery,ares_free_hostent
sort_addresses,memcmp
sort_addresses,get_address_index
sort_addresses,ares__bitncmp
sort6_addresses,memcmp
sort6_addresses,get6_address_index
sort6_addresses,ares__bitncmp
get6_address_index,memcmp
get6_address_index,ares__bitncmp
get_address_index,memcmp
get_address_index,ares__bitncmp
ares_gethostbyname_file,strlen
ares_gethostbyname_file,__errno_location
ares_gethostbyname_file,__ctype_b_loc
ares_gethostbyname_file,ares_strdup
ares_gethostbyname_file,strdup
ares_gethostbyname_file,fopen
ares_gethostbyname_file,fclose
ares_gethostbyname_file,strcasecmp
ares_gethostbyname_file,ares_free_hostent
ares_gethostbyname_file,ares_striendstr
ares_gethostbyname_file,tolower
ares_gethostbyname_file,ares__is_onion_domain
ares_gethostbyname_file,file_lookup.64
ares_gethostbyname_file,aresx_uztosi
ares_gethostbyname_file,aresx_uztoss
ares_gethostbyname_file,aresx_sitoss
ares_gethostbyname_file,ares__read_line
ares_gethostbyname_file,fgets
ares_gethostbyname_file,ferror
ares_gethostbyname_file,ares_inet_pton
ares_gethostbyname_file,inet_pton
ares_gethostbyname_file,ares__get_hostent
ares__tvnow,clock_gettime
ares__tvnow,gettimeofday
ares_get_servers,ares_free_data
ares_get_servers,ares_malloc_data
ares_get_servers_ports,ntohs
ares_get_servers_ports,ares_free_data
ares_get_servers_ports,ares_malloc_data
ares_set_servers,__assert_fail
ares_set_servers,ares__close_socket
ares_set_servers,close
ares_set_servers,ares__destroy_servers_state
ares_set_servers,ares__close_sockets
ares_set_servers,ares__init_list_head
ares_set_servers,ares__is_list_empty
ares_set_servers,ares_library_initialized
ares_set_servers,ares__init_servers_state
ares_set_servers_ports,__assert_fail
ares_set_servers_ports,htons
ares_set_servers_ports,ares__close_socket
ares_set_servers_ports,close
ares_set_servers_ports,ares__destroy_servers_state
ares_set_servers_ports,ares__close_sockets
ares_set_servers_ports,ares__init_list_head
ares_set_servers_ports,ares__is_list_empty
ares_set_servers_ports,ares_library_initialized
ares_set_servers_ports,ares__init_servers_state
ares_set_servers_csv,__assert_fail
ares_set_servers_csv,strlen
ares_set_servers_csv,ares_set_servers_ports
ares_set_servers_csv,htons
ares_set_servers_csv,set_servers_csv
ares_set_servers_csv,strcpy
ares_set_servers_csv,__ctype_b_loc
ares_set_servers_csv,strtol
ares_set_servers_csv,ares__close_socket
ares_set_servers_csv,close
ares_set_servers_csv,ares__destroy_servers_state
ares_set_servers_csv,ares__close_sockets
ares_set_servers_csv,ares__init_list_head
ares_set_servers_csv,ares__is_list_empty
ares_set_servers_csv,ares_inet_pton
ares_set_servers_csv,inet_pton
ares_set_servers_csv,ares_library_initialized
ares_set_servers_csv,ares__init_servers_state
set_servers_csv,__assert_fail
set_servers_csv,strlen
set_servers_csv,ares_set_servers_ports
set_servers_csv,htons
set_servers_csv,strcpy
set_servers_csv,__ctype_b_loc
set_servers_csv,strtol
set_servers_csv,ares__close_socket
set_servers_csv,close
