Caller,Callee
open_udp_socket,configure_socket
open_udp_socket,ares__connect_socket
socket_write,send
ares__open_socket,socket
configure_socket,setsocknonblock
configure_socket,fcntl
configure_socket,setsockopt
configure_socket,bind
configure_socket,memcmp
configure_socket,htonl
ares__close_socket,close
ares__connect_socket,connect
setsocknonblock,fcntl
socket_recvfrom,recvfrom
ares_parse_ptr_reply,ares__expand_name_for_response
ares_parse_ptr_reply,ares_free_hostent
ares_parse_ptr_reply,aresx_sitoss
ares_parse_ptr_reply,strncpy
ares_parse_ptr_reply,strlen
ares_parse_ptr_reply,strcasecmp
ares__sortaddrinfo,__assert_fail
ares__sortaddrinfo,find_src_addr
ares__sortaddrinfo,qsort
find_src_addr,ares__open_socket
find_src_addr,__errno_location
find_src_addr,ares__connect_socket
find_src_addr,ares__close_socket
find_src_addr,getsockname
rfc6724_compare,get_scope
rfc6724_compare,common_prefix_len
rfc6724_compare,get_precedence
rfc6724_compare,get_label
get_scope,htonl
get_scope,ntohl
get_label,htonl
get_label,ntohl
get_precedence,htonl
get_precedence,ntohl
ares_parse_txt_reply_ext,ares__parse_txt_reply
ares__read_line,aresx_uztosi
ares__read_line,fgets
ares__read_line,ferror
ares__read_line,strlen
ares_expand_name,name_length
ares_expand_name,aresx_uztosl
ares__expand_name_for_response,ares_expand_name
ares__readaddrinfo,ares__read_line
ares__readaddrinfo,__ctype_b_loc
ares__readaddrinfo,ares__freeaddrinfo_nodes
ares__readaddrinfo,ares__freeaddrinfo_cnames
ares__readaddrinfo,ares__addrinfo_cat_nodes
ares__readaddrinfo,ares__addrinfo_cat_cnames
ares__readaddrinfo,strcasecmp
ares__readaddrinfo,ares_strdup
ares__readaddrinfo,ares__append_addrinfo_cname
ares__readaddrinfo,ares__append_addrinfo_node
ares__readaddrinfo,htons
ares__readaddrinfo,ares_inet_pton
ares_expand_string,strncpy
ares_parse_caa_reply,ares_expand_name
ares_parse_caa_reply,ares_free_data
ares_parse_caa_reply,ares_malloc_data
ares__close_sockets,ares__close_socket
ares_parse_ns_reply,ares__expand_name_for_response
ares_parse_ns_reply,strcpy
ares_parse_ns_reply,strlen
ares_parse_aaaa_reply,ares__parse_into_addrinfo2
ares_parse_aaaa_reply,ares__freeaddrinfo_nodes
ares_parse_aaaa_reply,ares__freeaddrinfo_cnames
ares_parse_aaaa_reply,strdup
ares_parse_aaaa_reply,ares_free_hostent
ares_strsplit,strlen
ares_strsplit,is_delim
ares_strsplit,ares_strdup
ares_strsplit,ares_strsplit_free
ares_strsplit,list_contains
list_contains,strlen
list_contains,strncasecmp
list_contains,strncmp
ares_getnameinfo,lookup_service
ares_getnameinfo,ares_gethostbyaddr
ares_getnameinfo,ares_inet_ntop
ares_getnameinfo,append_scopeid
lookup_service,getservbyport_r
lookup_service,ntohs
lookup_service,sprintf
lookup_service,strlen
append_scopeid,htonl
append_scopeid,strcpy
append_scopeid,sprintf
append_scopeid,strlen
append_scopeid,if_indextoname
nameinfo_callback,lookup_service
nameinfo_callback,gethostname
nameinfo_callback,strchr
nameinfo_callback,ares_striendstr
nameinfo_callback,append_scopeid
nameinfo_callback,ares_inet_ntop
ares_striendstr,strlen
ares_striendstr,tolower
ares__is_onion_domain,ares_striendstr
ares__bitncmp,memcmp
ares_create_query,ares__is_onion_domain
ares_create_query,strlen
ares_create_query,strcmp
ares_inet_net_pton,inet_net_pton_ipv4
ares_inet_net_pton,inet_net_pton_ipv6
ares_inet_net_pton,__errno_location
inet_net_pton_ipv4,__ctype_b_loc
inet_net_pton_ipv4,__errno_location
inet_net_pton_ipv4,aresx_sztosi
inet_net_pton_ipv4,tolower
inet_net_pton_ipv4,strchr
inet_net_pton_ipv6,strchr
inet_net_pton_ipv6,__errno_location
inet_net_pton_ipv6,aresx_sztoui
inet_net_pton_ipv6,getv4
inet_net_pton_ipv6,getbits
getv4,strchr
getv4,aresx_sztoui
getv4,getbits
getbits,strchr
getbits,aresx_sztosi
ares_inet_pton,inet_pton
ares_inet_ntop,inet_ntop
ares_strdup,strdup
ares_strdup,strlen
ares_destroy,ares__free_query
ares_destroy,ares__is_list_empty
ares_destroy,__assert_fail
ares_destroy,ares__destroy_servers_state
ares__destroy_servers_state,ares__close_sockets
ares__destroy_servers_state,ares__is_list_empty
ares__destroy_servers_state,__assert_fail
ares_gethostbyaddr,next_lookup.164
next_lookup.164,ptr_rr_name
next_lookup.164,ares_query
next_lookup.164,file_lookup.165
next_lookup.164,end_aquery
ptr_rr_name,ntohl
ptr_rr_name,sprintf
ptr_rr_name,strlen
addr_callback,ares_parse_ptr_reply
addr_callback,next_lookup.164
addr_callback,end_aquery
file_lookup.165,fopen
file_lookup.165,__errno_location
file_lookup.165,ares__get_hostent
file_lookup.165,ares_free_hostent
file_lookup.165,memcmp
file_lookup.165,fclose
end_aquery,ares_free_hostent
ares_dup,ares_save_options
ares_dup,ares_destroy_options
ares_dup,ares_init_options
ares_dup,ares_destroy
ares_dup,strncpy
ares_dup,ares_get_servers_ports
ares_dup,ares_free_data
ares_dup,ares_set_servers_ports
ares_save_options,aresx_sitous
ares_save_options,ntohs
ares_save_options,ares_strdup
ares_set_local_dev,strncpy
ares_set_sortlist,config_sortlist
default_malloc,malloc
ares_library_init,ares_win32_init
ares_library_init_mem,ares_library_init
ares_library_cleanup,ares_win32_cleanup
ares_parse_naptr_reply,ares_expand_name
ares_parse_naptr_reply,ares_free_data
ares_parse_naptr_reply,ares_malloc_data
ares_parse_naptr_reply,ares_expand_string
ares_parse_srv_reply,ares_expand_name
ares_parse_srv_reply,ares_free_data
ares_parse_srv_reply,ares_malloc_data
ares__parse_into_addrinfo2,ares__expand_name_for_response
ares__parse_into_addrinfo2,ares__freeaddrinfo_nodes
ares__parse_into_addrinfo2,strcasecmp
ares__parse_into_addrinfo2,ares__append_addrinfo_node
ares__parse_into_addrinfo2,ares__freeaddrinfo_cnames
ares__parse_into_addrinfo2,ares__addrinfo_cat_cnames
ares__parse_into_addrinfo2,ares__addrinfo_cat_nodes
ares__parse_into_addrinfo2,ares__append_addrinfo_cname
ares__parse_into_addrinfo,ares__parse_into_addrinfo2
ares__tvnow,clock_gettime
ares__tvnow,gettimeofday
ares_parse_txt_reply,ares__parse_txt_reply
ares__parse_txt_reply,ares_expand_name
ares__parse_txt_reply,ares_free_data
ares__parse_txt_reply,ares_malloc_data
ares_send,ares__send_query
ares_send,ares__tvnow
ares_send,ares__insert_in_list
ares_send,ares__init_list_node
ares_fds,ares__is_list_empty
ares_parse_mx_reply,ares_expand_name
ares_parse_mx_reply,ares_free_data
ares_parse_mx_reply,ares_malloc_data
ares__append_addrinfo_cname,ares__malloc_addrinfo_cname
ares__append_addrinfo_node,ares__malloc_addrinfo_node
ares_getaddrinfo,ares__is_onion_domain
ares_getaddrinfo,next_lookup
ares_getaddrinfo,strtoul
ares_getaddrinfo,ares_freeaddrinfo
ares_getaddrinfo,lookup_service.117
ares_getaddrinfo,ares_strdup
ares_getaddrinfo,fake_addrinfo
ares_getaddrinfo,ares__malloc_addrinfo
lookup_service.117,getservbyname
lookup_service.117,ntohs
fake_addrinfo,__ctype_b_loc
fake_addrinfo,ares_inet_pton
fake_addrinfo,htons
fake_addrinfo,ares_freeaddrinfo
fake_addrinfo,ares__malloc_addrinfo_node
fake_addrinfo,ares_strdup
fake_addrinfo,ares__append_addrinfo_cname
next_lookup,next_dns_lookup
next_lookup,next_lookup
next_lookup,file_lookup
next_lookup,end_hquery
next_dns_lookup,as_is_first
next_dns_lookup,__assert_fail
next_dns_lookup,ares__cat_domain
next_dns_lookup,ares_query
file_lookup,getenv
file_lookup,fopen
file_lookup,__errno_location
file_lookup,ares__readaddrinfo
file_lookup,fclose
end_hquery,ares__sortaddrinfo
end_hquery,htons
end_hquery,ares_freeaddrinfo
as_is_first,strlen
host_callback,ares__parse_into_addrinfo
host_callback,end_hquery
host_callback,next_lookup
ares_gethostbyname,ares__is_onion_domain
ares_gethostbyname,next_lookup.127
ares_gethostbyname,fake_hostent
ares_gethostbyname,ares_strdup
fake_hostent,__ctype_b_loc
fake_hostent,ares_inet_pton
fake_hostent,ares_strdup
fake_hostent,aresx_sitoss
next_lookup.127,ares_search
next_lookup.127,end_hquery.130
next_lookup.127,file_lookup.129
host_callback.128,ares_parse_a_reply
host_callback.128,sort_addresses
